method,dataset,dim,N,per_query_s,peak_mem_mb
base,magnatagatune,128,300,0.0072,0.0
base,magnatagatune,256,300,0.0143,0.0
base,magnatagatune,512,300,0.0196,0.0
base,magnatagatune,1024,300,0.0314,0.0
ahe_query,magnatagatune,128,300,5.2144,89.6
ahe_query,magnatagatune,256,300,5.8697,88.8
ahe_query,magnatagatune,512,300,6.586,86.7
ahe_query,magnatagatune,1024,300,7.0442,83.3
ahe_db,magnatagatune,128,300,5.2117,276.6
ahe_db,magnatagatune,256,300,5.8077,201.8
ahe_db,magnatagatune,512,300,6.4368,199.3
ahe_db,magnatagatune,1024,300,7.0877,195.6
fhe_dot,magnatagatune,128,300,6.0208,277.2
fhe_dot,magnatagatune,256,300,6.7458,202.2
fhe_dot,magnatagatune,512,300,7.2934,199.7
fhe_dot,magnatagatune,1024,300,7.8794,196.0
fhe_euclidean,magnatagatune,128,300,6.2189,277.2
fhe_euclidean,magnatagatune,256,300,6.7653,202.5
fhe_euclidean,magnatagatune,512,300,7.3012,199.1
fhe_euclidean,magnatagatune,1024,300,7.9543,195.7
fhe_cosine,magnatagatune,128,300,12.1507,277.3
fhe_cosine,magnatagatune,256,300,13.477,202.3
fhe_cosine,magnatagatune,512,300,14.4339,199.1
fhe_cosine,magnatagatune,1024,300,15.8069,195.7
